#wave,Ion,Ei (eV),Ek (eV),Configurations,Terms,Ji - Jk,Type  (if not E1),Creation IP (eV),Observation References,Type,physical_basis,intrinsic_ratio,is_doublet,doublet_id,doublet_member
2835.74,[Fe IV],0,4.371,3d5 - 3d5,6S-4P,5/2-5/2,M1,30.65,R11,-,-,-,FALSE,-,-
2853.67,[Ar IV],0,4.343,3s23p3 - 3s23p3,4S0 - 2P0,3/2 - 3/2,M1,40.74,T00,-,-,-,FALSE,-,-
2868.21,[Ar IV],0,4.321,3s23p3 - 3s23p3,4S0 - 2P0,3/2 - 1/2,M1,40.74,T00,-,-,-,FALSE,-,-
2928,[Mg V],0.221,4.454,2s22p4 - 2s22p4,3P - 1D,1 - 2,M1,109.24,T00,-,-,-,FALSE,-,-
2945.106,He I,19.82,24.028,1s2s - 1s5p,-,-,E1,0,T00,-,-,-,FALSE,-,-
3132.794,O III,36.893,40.849,2s22p(2P0)3p - 2s22p(2P0)3d,3S - 3P0,45659,E1,35.12,R11,-,-,-,FALSE,-,-
3187.745,He I,19.82,23.708,1s2s - 1s4p,3S - 3P0,,E1,0,R11,-,-,-,FALSE,-,-
3203.1,He II,48.371,52.241,-,-,-,E1,54.42,R11,-,-,-,FALSE,-,-
3312.329,O III,33.151,36.893,2s22p(2P0)3s - 2s22p(2P0)3p,3P0 - 3S,45658,E1,35.12,R11,-,-,-,FALSE,-,-
3345.821,[Ne V],0.051,3.756,2s22p2 - 2s22p2,3P-1D,45659,M1,97.11,-,-,-,-,FALSE,-,-
3425.881,[Ne V],0.138,3.756,2s22p2 - 2s22p2,3P-1D,45690,M1,97.11,-,-,-,-,FALSE,-,-
3444.052,O III,37.25,40.849,2s22p(2P0)3p - 2s22p(2P0)3d,3P - 3P0,2 - 2,E1,35.12,FO87,-,-,-,FALSE,-,-
3466.497,[N I],0,3.576,2s22p3 - 2s22p3,4S0 - 2P0,3/2-3/2,M1,0,R11,-,-,-,FALSE,-,-
3466.543,[N I],0,3.576,2s22p3 - 2s22p3,4S0 - 2P0,3/2-1/2,M1,0,R11,-,-,-,FALSE,-,-
3487.727,He I,20.964,24.518,-,3Po-3D,-,E1,0,R11,-,-,-,FALSE,-,-
3586.32,[Fe VII],0.13,3.587,3p63d2 - 3p63d2,3F-1G,3 - 4,M1,99,FO87,-,-,-,FALSE,-,-
3662.5,[Fe VI],0.147,3.532,3d3 - 3d3,4F-2D2,7/2-5/2,M1,75,R11,-,-,-,FALSE,-,-
3686.831,H19,10.199,13.561,2 - 19,-,-,E1,0,TI05,-,-,-,FALSE,-,-
3691.551,H18,10.199,13.556,2 - 18,-,-,E1,0,TI05,-,-,-,FALSE,-,-
3697.157,H17,10.199,13.551,2 - 17,-,-,E1,0,TI05,-,-,-,FALSE,-,-
3703.859,H16,10.199,13.545,2 - 16,-,-,E1,0,I04,-,-,-,FALSE,-,-
3711.977,H15,10.199,13.538,2 - 15,-,-,E1,0,-,-,-,-,FALSE,-,-
3721.945,H14,10.199,13.529,2 - 14,-,-,E1,0,-,-,-,-,FALSE,-,-
3726.032,[O II],0,3.327,2s22p3 - 2s22p3,4S0 - 2D0,3/2-3/2,M1,13.62,-,forbidden,environment dependent,1,TRUE,[O II]|2s22p3 - 2s22p3|4S0 - 2D0,1
3728.815,[O II],0,3.324,2s22p3 - 2s22p3,4S0 - 2D0,3/2-5/2,M1,13.62,-,forbidden,environment dependent,-,TRUE,[O II]|2s22p3 - 2s22p3|4S0 - 2D0,2
3734.369,H13,10.199,13.518,2 - 13,-,-,E1,0,-,-,-,-,FALSE,-,-
3750.158,H12,10.199,13.504,2 - 12,-,-,E1,0,-,-,-,-,FALSE,-,-
3758.92,[Fe VII],0.289,3.587,3p63d2 - 3p63d2,3F-1G,45751,M1,99,FO87_R11,-,-,-,FALSE,-,-
3770.637,H11,10.199,13.486,2 - 11,-,-,E1,0,-,-,-,-,FALSE,-,-
3797.904,H10,10.199,13.462,2 - 10,-,-,E1,0,-,-,-,-,FALSE,-,-
3835.391,H9,10.199,13.431,2 - 9,-,-,E1,0,-,-,-,-,FALSE,-,-
3839.27,[Fe V],0.01,3.328,3d4 - 3d4,5D-3F2,45719,M1,54.8,R11,-,-,-,FALSE,-,-
3868.76,[Ne III],0,3.204,2s22p4 - 2s22p4,3P-1D,45690,M1,40.96,-,forbidden,A-value,1,TRUE,[Ne III]|2s22p4 - 2s22p4|3P-1D,1
3888.647,He I,-,-,-,-,-,E1,0,-,-,-,-,FALSE,-,-
3889.064,H8,10.199,13.386,2 - 8,-,-,E1,0,-,-,-,-,FALSE,-,-
3891.28,[Fe V],0.159,3.344,3d4 - 3d4,5D-3F2,45751,M1,54.8,FO87_ R11,-,-,-,FALSE,-,-
3911.33,[Fe V],0.159,3.328,3d4 - 3d4,5D-3F2,4 - 3,M1,54.8,FO87,-,-,-,FALSE,-,-
3967.47,[Ne III],0.08,3.204,2s22p4 - 2s22p4,3P-1D,45659,M1,40.96,-,forbidden,A-value,0.3333333333,TRUE,[Ne III]|2s22p4 - 2s22p4|3P-1D,2
3970.079,Hε,10.199,13.321,2 - 7,-,-,E1,0,-,-,-,-,FALSE,-,-
4026.19,He I,20.964,24.042,1s2p - 1s5d,3P0 - 3D,-,E1,0,R11,-,-,-,FALSE,-,-
4068.6,[S II],0,3.046,3s23p3 - 3s23p3,4S0 - 2P0,3/2-3/2,M1,10.36,R11,forbidden,environment dependent,1,TRUE,[S II]|3s23p3 - 3s23p3|4S0 - 2P0,1
4071.24,[Fe V],0.052,3.096,3d4 - 3d4,5D-3P2,2 - 1,M1,54.8,FO87,-,-,-,FALSE,-,-
4076.349,[S II],0,3.041,3s23p3 - 3s23p3,4S0 - 2P0,3/2-1/2,M1,10.36,R11,forbidden,environment dependent,-,TRUE,[S II]|3s23p3 - 3s23p3|4S0 - 2P0,2
4101.742,Hδ,10.199,13.221,2 - 6,-,-,E1,0,-,-,-,-,FALSE,-,-
4143.761,He I,21.218,24.209,1s2p - 1s6d,1P0 - 1D,-,E1,0,T00,-,-,-,FALSE,-,-
4178.862,Fe II,2.583,5.549,3d6(3P2)4s - 3d6(5D)4p,b 4P - z 4F0,5/2 - 7/2,E1,7.87,OP85,-,-,-,FALSE,-,-
4180.6,[Fe V],0.018,2.982,3d4 - 3d4,5D-3P2,1-0,M1,54.8,R11,-,-,-,FALSE,-,-
4233.172,Fe II,2.583,5.511,3d6(3P2)4s - 3d6(5D)4p,b 4P - z 4D0,5/2 - 7/2,E1,7.87,OP85,-,-,-,FALSE,-,-
4227.19,[Fe V],0.159,3.091,3d4 - 3d4,5D - 3H,4 - 4,M1,54.8,I04,-,-,-,FALSE,-,-
4287.394,[Fe II],0,2.891,3d6(5D)4s - 3d54s2,a 6D - a 6S,9/2 - 5/2,E2,7.87,I01,-,-,-,FALSE,-,-
4303.176,Fe II,2.704,5.584,3d6(3P2)4s - 3d6(5D)4p,b 4P - z 4D0,3/2 - 3/2,E1,7.87,OP85,-,-,-,FALSE,-,-
4317.139,O II,22.966,25.837,2s22p2(3P)3s - 2s22p2(3P)3p,4P - 4P0,1/2-3/2,E1,13.62,R11,-,-,-,FALSE,-,-
4340.471,Hγ,10.199,13.055,2 - 5,-,-,E1,0,-,-,-,-,FALSE,-,-
4363.21,[O III],2.514,5.354,2s22p2 - 2s22p2,1D-1S,2-0,E2,35.12,-,-,-,-,FALSE,-,-
4412.3,[Ar XIV],0,2.809,2s22p - 2s22p,2P0 - 2P0,1/2-3/2,M1,686.09,W11,-,-,-,FALSE,-,-
4414.899,O II,23.442,26.249,2s22p2(3P)3s - 2s22p2(3P)3p,2P - 2D0,3/2-5/2,E1,13.62,R11,-,-,-,FALSE,-,-
4416.83,Fe II,2.778,5.585,3d6(3P2)4s - 3d6(5D)4p,b 4P - z 4D0,1/2 - 3/2,E1,7.87,OP85,-,-,-,FALSE,-,-
4452.098,[Fe II],0.107,2.891,3d6(5D)4s - 3d54s2,a 6D - a 6S,3/2 - 5/2,E2,7.87,I01,-,-,-,FALSE,-,-
4471.479,He I,20.964,23.736,1s2p - 1s4d,3P0 - 3D,-,E1,0,-,-,-,-,FALSE,-,-
4489.183,Fe II,2.828,5.589,3d6(3F2)4s - 3d6(5D)4p,b 4F - z 4F0,7/2 - 5/2,E1,7.87,OP85,-,-,-,FALSE,-,-
4491.405,Fe II,2.856,5.615,3d6(3F2)4s - 3d6(5D)4p,b 4F - z 4F0,3/2 - 3/2,E1,7.87,OP85,-,-,-,FALSE,-,-
4510.91,N III,35.649,38.397,2s2p(3P0)3s - 2s2p(3P0)3p,4P0 - 4D,1/2 - 3/2,E1,29.6,I01,-,-,-,FALSE,-,-
4522.634,Fe II,2.844,5.585,3d6(3F2)4s - 3d6(5D)4p,b 4F - z 4D0,5/2 - 3/2,E1,7.87,OP85,-,-,-,FALSE,-,-
4555.893,Fe II,2.828,5.549,3d6(3F2)4s - 3d6(5D)4p,b 4F - z 4F0,7/2 - 7/2,E1,7.87,OP85,-,-,-,FALSE,-,-
4582.835,Fe II,2.844,5.549,3d6(3F2)4s - 3d6(5D)4p,b 4F - z 4F0,5/2 - 7/2,E1,7.87,OP85,-,-,-,FALSE,-,-
4583.837,Fe II,2.807,5.511,3d6(3F2)4s - 3d6(5D)4p,b 4F - z 4D0,9/2 - 7/2,E1,7.87,OP85,-,-,-,FALSE,-,-
4629.339,Fe II,2.807,5.484,3d6(3F2)4s - 3d6(5D)4p,b 4F - z 4F0,9/2 - 9/2,E1,7.87,OP85,-,-,-,FALSE,-,-
4634.14,N III,30.459,33.133,2s23p - 2s23d,2P0 - 2D,1/2 - 3/2,E1,29.6,OC82,-,-,-,FALSE,-,-
4640.64,N III,30.463,33.134,2s23p - 2s23d,2P0 - 2D,3/2 - 5/2,E1,29.6,OC82,-,-,-,FALSE,-,-
4641.85,N III,30.463,33.133,2s23p - 2s23d,2P0 - 2D,3/2 - 3/2,E1,29.6,OC82,-,-,-,FALSE,-,-
4647.42,C III,29.535,32.202,1s22s3s - 1s22s3p,3S - 3P0,1 - 2,E1,24.38,S99,-,-,-,FALSE,-,-
4650.25,C III,29.535,32.2,1s22s3s - 1s22s3p,3S - 3P0,1 - 1,E1,24.38,S99,-,-,-,FALSE,-,-
