name,ion,rest_wavelength_angstrom,oscillator_strength,damping_constant_s,atomic_mass_amu,q_coefficient_cminv,group,reference
C13I**_1279,C13I**,1279.49790,0.000456,1860000.0,13.0,,C13I**,M03 Aki
C13I**_1279,C13I**,1279.22868,0.00214,6240000.0,13.0,,C13I**,M03 Aki
C13I*_1279,C13I*,1279.05609,0.000708,1730000.0,,,C13I*,M03-6u
C13I_1277,C13I,1277.24570,0.0853,232000000.0,,,C13I,M03g-7u +0.12km/s
C13I*_1277,C13I*,1277.28320,0.0666,246000000.0,,,C13I*,M03g
C13I*_1277,C13I*,1277.51360,0.021,232000000.0,,,C13I*,M03g
C13I**_1277,C13I**,1277.55060,0.0763,244000000.0,13.0,,C13I**,M03g
C13I**_1277,C13I**,1277.72380,0.0153,246000000.0,13.0,,C13I**,M03g
C13I**_1277,C13I**,1277.95440,0.000817,232000000.0,13.0,,C13I**,M03g
C13I**_1277,C13I**,1277.95416,0.000817,232000000.0,13.0,,C13I**,M03g
C13I**_1277,C13I**,1277.72337,0.0153,246000000.0,13.0,,C13I**,M03g
C13I**_1277,C13I**,1277.55002,0.0763,244000000.0,13.0,,C13I**,M03g
C13I*_1277,C13I*,1277.51341,0.021,232000000.0,,,C13I*,M03g
C13I*_1277,C13I*,1277.28278,0.0666,246000000.0,,,C13I*,M03g
C13I_1277,C13I,1277.24554,0.0853,232000000.0,,,C13I,M03g-7u
C13I*_1276,C13I*,1276.75035,0.00308,12600000.0,,,C13I*,M03 + 0.13 km/s Berengut
C13I_1276,C13I,1276.48280,0.00589,8030000.0,,,C13I,M03-7.01u
C13I**_1270,C13I**,1270.84420,1.45e-08,99.7,13.0,,C13I**,Aki
C13I*_1270,C13I*,1270.40834,4.51e-05,186000.0,,,C13I*,Aki
C13I_1270,C13I,1270.14344,0.000386,531000.0,,,C13I,Aki
C13I**_1261,C13I**,1261.55081,0.0391,236000000.0,13.0,,C13I**,M03g
C13I**_1261,C13I**,1261.42446,0.0131,240000000.0,13.0,,C13I**,M03g
C13I*_1261,C13I*,1261.12129,0.0202,236000000.0,,,C13I*,M03g
C13I*_1260,C13I*,1260.99504,0.0134,240000000.0,,,C13I*,M03g
C13I*_1260,C13I*,1260.92542,0.0175,241000000.0,,,C13I*,M03g
C13I_1260,C13I,1260.73405,0.0507,240000000.0,,,C13I,M03g-9u
C13I**_1194,C13I**,1194.61460,0.00227,17700000.0,13.0,,C13I**,M03g Aki w as C
C13I**_1194,C13I**,1194.48850,0.00203,6770000.0,13.0,,C13I**,M03-10u Aki
C13I*_1194,C13I*,1194.40550,0.00314,44000000.0,,,C13I*,M03g Aki
C13I*_1194,C13I*,1194.30100,0.00905,4100000.0,,,C13I*,M03-10u Aki
C13I*_1194,C13I*,1194.22950,0.00178,8330000.0,,,C13I*,M03g Aki
C13I**_1194,C13I**,1194.06340,0.00636,29800000.0,13.0,,C13I**,M03g Aki
C13I_1193,C13I,1193.99540,0.0124,19400000.0,,,C13I,M03-9.02 Aki
C13I*_1193,C13I*,1193.67860,0.00905,25400000.0,,,C13I*,M03g Aki
C13I**_1193,C13I**,1193.64830,0.000288,2250000.0,13.0,,C13I**,M03g Aki
C13I**_1193,C13I**,1193.39280,0.00738,34600000.0,13.0,,C13I**,M03g Aki
C13I*_1193,C13I*,1193.26370,0.00913,42900000.0,,,C13I*,M03g Aki
C13I**_1193,C13I**,1193.24010,0.0332,111000000.0,13.0,,C13I**,M03g Aki
C13I_1193,C13I,1193.03000,0.0409,63900000.0,,,C13I,M03-11u Aki
C13I*_1193,C13I*,1193.00850,0.0281,79000000.0,,,C13I*,M03g Aki
C13I*_1192,C13I*,1192.44920,0.00162,7600000.0,,,C13I*,M03
C13I_1192,C13I,1192.21580,0.00137,2150000.0,,,C13I,M03-12u Aki
C13I**_1189,C13I**,1189.63070,0.0112,52700000.0,13.0,,C13I**,M03g Aki
C13I**_1189,C13I**,1189.44680,0.00376,29600000.0,13.0,,C13I**,M03g Aki
C13I*_1189,C13I*,1189.24880,0.00385,10900000.0,,,C13I*,M03g Aki
C13I*_1189,C13I*,1189.06500,0.00426,20100000.0,,,C13I*,M03g Aki
C13I*_1188,C13I*,1188.99280,0.00507,71700000.0,,,C13I*,M03g Aki
C13I_1188,C13I,1188.83290,0.0124,19500000.0,,,C13I,M03-14u Aki
C13I**_1158,C13I**,1158.90680,0.00101,8360000.0,13.0,,C13I**,M03 Aki
C13I*_1158,C13I*,1158.67440,0.00147,21900000.0,,,C13I*,M03 Aki
C13I*_1158,C13I*,1158.54430,0.000675,3350000.0,,,C13I*,M03 Aki
C13I**_1158,C13I**,1158.39710,0.00165,8190000.0,13.0,,C13I**,M03 Aki
C13I_1158,C13I,1158.32400,0.00655,10900000.0,,,C13I,M03-15.01 Aki
C13I**_1158,C13I**,1158.13170,0.00519,25800000.0,13.0,,C13I**,M03
C13I*_1158,C13I*,1158.12990,0.00397,19700000.0,,,C13I*,M03
